week,machine_id,available_hours
1,M01,60
1,M02,80
1,M03,45
1,M04,45
1,M05,70
1,M06,70
2,M01,60
2,M02,80
2,M03,45
2,M04,45
2,M05,70
2,M06,70
3,M01,60
3,M02,80
3,M03,45
3,M04,45
3,M05,70
3,M06,70
4,M01,60
4,M02,80
4,M03,45
4,M04,45
4,M05,70
4,M06,70
5,M01,60
5,M02,80
5,M03,45
5,M04,45
5,M05,70
5,M06,70
6,M01,60
6,M02,80
6,M03,45
6,M04,45
6,M05,70
6,M06,70
7,M01,60
7,M02,80
7,M03,45
7,M04,45
7,M05,70
7,M06,70
8,M01,60
8,M02,80
8,M03,45
8,M04,45
8,M05,70
8,M06,70
9,M01,60
9,M02,80
9,M03,45
9,M04,45
9,M05,70
9,M06,70
10,M01,60
10,M02,80
10,M03,45
10,M04,45
10,M05,70
10,M06,70
11,M01,60
11,M02,80
11,M03,45
11,M04,45
11,M05,70
11,M06,70
12,M01,60
12,M02,80
12,M03,45
12,M04,45
12,M05,70
12,M06,70
